driver,constructor,AUS,CHN-S,CHN,JPN,BHR,SAU,MIA-S,MIA,EMI,MON,ESP,CAN,AUT,GBR,BEL-S,BEL,HUN,NED,ITA,AZE,SIN,USA-S,USA,MEX,BRA-S,BRA,LVG,QAT-S,QAT,ABU
Norris,McLaren,25,1,18,18,15,12,8,18,18,25,18,0,25,25,6,18,25,0,18,6,15,0,18,25,8,25,0,6,12,15
Verstappen,Red Bull,18,6,12,25,8,18,0,12,25,12,1,18,0,10,8,12,2,18,25,25,18,8,25,15,5,15,25,5,25,25
Piastri,McLaren,2,7,25,15,25,25,7,25,15,15,25,12,18,18,7,25,18,25,15,0,12,0,10,10,0,10,0,8,18,18
Russell,Mercedes,15,5,15,10,18,10,5,15,6,0,12,25,10,1,0,10,15,12,10,18,25,7,8,6,6,12,18,7,8,10
Leclerc,Ferrari,4,4,0,12,12,15,0,6,8,18,15,10,15,0,5,15,12,0,12,2,8,4,15,18,4,0,12,0,4,12
Hamilton,Ferrari,1,8,0,6,10,6,6,4,12,10,8,8,12,12,0,6,0,0,8,4,4,5,12,4,2,0,4,0,0,4
Antonelli,Mercedes,12,2,8,8,0,8,2,8,0,0,0,15,0,0,0,0,1,0,2,12,10,1,0,8,7,18,15,3,10,0
Albon,Williams,10,0,6,2,0,2,0,10,10,2,0,0,0,4,0,8,0,10,6,0,0,3,0,0,0,0,0,0,0,0
Sainz,Williams,0,0,1,0,0,4,0,2,4,1,0,1,0,0,3,0,0,0,0,15,1,6,0,0,0,0,10,1,15,0
Alonso,Aston Martin,0,0,0,0,0,0,0,0,0,0,2,6,6,2,0,0,10,4,0,0,6,0,1,0,3,0,0,2,6,8
Hulkenberg,Audi,6,0,0,0,0,0,0,0,0,0,10,4,2,15,0,0,0,0,0,0,0,0,4,0,0,2,6,0,0,2
Hadjar,Racing Bulls,0,0,4,0,0,1,0,0,2,8,6,0,0,0,1,0,0,15,1,1,0,0,0,0,0,4,8,0,0,0
Bearman,Haas,0,0,4,1,1,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,2,0,2,12,0,8,1,0,0,0
Lawson,Racing Bulls,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,4,4,0,0,10,0,0,0,0,0,6,0,0,2,0
Lawson,Red Bull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocon,Alpine,0,0,10,0,4,0,0,0,0,6,0,2,1,0,4,0,0,1,0,0,0,0,0,2,0,0,2,0,0,6
Stroll,Aston Martin,8,0,2,0,0,0,4,0,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1
Tsunoda,Red Bull,0,0,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,2,0,8,0,2,6,0,0,0,0,4,1,0
Tsunoda,Racing Bulls,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gasly,Alpine,0,0,0,0,6,0,1,0,0,0,4,0,0,8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bortoleto,Audi,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,8,0,1,0,0,0,0,1,0,0,0,0,0,0
Colapinto,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doohan,Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
